Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,-0.0004,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0400e-02,42.3438,-503.242,467.539,1.69844
-2.0396e-02,40.5859,-501.562,469.062,1.66875
-2.0392e-02,39.6875,-501.445,468.594,1.68125
-2.0388e-02,38.6719,-500.898,468.398,1.70156
-2.0384e-02,37.0703,-500.039,467.969,1.69844
-2.0380e-02,36.25,-498.984,468.398,1.71406
-2.0376e-02,35.8203,-497.5,469.219,1.73125
-2.0372e-02,35,-498.086,467.969,1.73438
-2.0368e-02,33.9062,-497.148,469.297,1.74687
-2.0364e-02,32.7734,-496.172,470.195,1.75937
-2.0360e-02,31.3672,-495.664,470.312,1.7375
-2.0356e-02,30.7422,-496.484,470.938,1.73438
-2.0352e-02,29.9609,-495.352,471.719,1.75
-2.0348e-02,29.6484,-494.609,471.953,1.73438
-2.0344e-02,29.6094,-493.945,470.898,1.75937
-2.0340e-02,29.3359,-493.516,470.898,1.7625
-2.0336e-02,29.6484,-492.695,470.312,1.74687
-2.0332e-02,30.0391,-490.742,468.984,1.71875
-2.0328e-02,30.4688,-490.664,467.148,1.73125
-2.0324e-02,30.6641,-490.469,464.922,1.7375
-2.0320e-02,32.0703,-489.961,464.492,1.74687
-2.0316e-02,32.8516,-489.727,463.633,1.7375
-2.0312e-02,33.9062,-489.844,463.984,1.72344
-2.0308e-02,33.8672,-489.766,462.891,1.73906
-2.0304e-02,34.2188,-489.844,461.953,1.73906
-2.0300e-02,35.2344,-491.094,461.562,1.74219
-2.0296e-02,36.0547,-493.203,461.094,1.74687
-2.0292e-02,36.3281,-492.812,463.203,1.71094
-2.0288e-02,35.5469,-492.188,464.297,1.70625
-2.0284e-02,34.6094,-491.758,464.141,1.70312
-2.0280e-02,33.0859,-491.094,464.414,1.71719
-2.0276e-02,31.6797,-489.648,466.133,1.73438
-2.0272e-02,29.2188,-487.031,466.055,1.75
-2.0268e-02,27.8125,-486.914,465.938,1.77187
-2.0264e-02,26.2891,-485.703,466.25,1.78438
-2.0260e-02,23.9453,-484.805,466.172,1.81563
-2.0256e-02,23.3594,-484.062,467.383,1.82344
-2.0252e-02,22.1094,-483.672,468.867,1.85312
-2.0248e-02,20.5859,-483.125,470.391,1.86562
-2.0244e-02,18.6328,-482.734,471.328,1.86875
-2.0240e-02,17.1094,-483.438,471.719,1.88437
-2.0236e-02,16.6016,-485.195,473.555,1.9
-2.0232e-02,15.3906,-484.883,475.781,1.9125
-2.0228e-02,14.8047,-485.078,476.836,1.90625
-2.0224e-02,14.375,-485.469,477.617,1.90938
-2.0220e-02,13.9844,-486.484,476.992,1.94063
-2.0216e-02,14.2188,-486.914,477.812,1.94531
-2.0212e-02,13.9062,-485.781,479.57,1.94531
-2.0208e-02,13.5938,-485.781,478.945,1.91719
