Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.9370e-02,481.758,-5.70312,-468.047,-6.19375
-4.9360e-02,483.008,-7.5,-468.086,-6.2
-4.9350e-02,484.766,-8.32031,-467.969,-6.15781
-4.9340e-02,487.266,-10.5078,-468.711,-6.15313
-4.9330e-02,488.555,-13.5938,-465.82,-6.15
-4.9320e-02,487.422,-18.3984,-459.492,-6.13906
-4.9310e-02,489.375,-24.1406,-456.836,-6.1125
-4.9300e-02,494.102,-29.1797,-457.109,-6.10625
-4.9290e-02,495.195,-31.1719,-455.234,-6.11406
-4.9280e-02,493.477,-31.4844,-452.656,-6.09844
-4.9270e-02,491.445,-31.7188,-451.836,-6.09688
-4.9260e-02,493.594,-32.2266,-454.609,-6.10625
-4.9250e-02,495.117,-33.2812,-453.047,-6.07812
-4.9240e-02,494.219,-36.6797,-448.711,-6.05156
-4.9230e-02,495.391,-40.7031,-447.383,-6.03125
-4.9220e-02,498.477,-43.6719,-446.758,-6.05938
-4.9210e-02,501.055,-46.875,-446.758,-6.08281
-4.9200e-02,501.602,-49.3359,-443.867,-6.10313
-4.9190e-02,502.539,-52.4609,-443.438,-6.10938
-4.9180e-02,503.633,-55.2734,-442.578,-6.1125
-4.9170e-02,505.859,-57.0703,-441.133,-6.075
-4.9160e-02,506.094,-59.375,-438.828,-6.06875
-4.9150e-02,506.68,-61.3672,-438.008,-6.05781
-4.9140e-02,508.164,-63.0859,-437.461,-6.07656
-4.9130e-02,509.961,-64.4531,-437.812,-6.09531
-4.9120e-02,508.945,-65.1562,-435.547,-6.09531
-4.9110e-02,509.453,-66.6797,-435.43,-6.10313
-4.9100e-02,509.414,-67.8516,-435.117,-6.08281
-4.9090e-02,510.703,-68.2812,-434.258,-6.07031
-4.9080e-02,509.609,-69.0234,-432.578,-6.06875
-4.9070e-02,509.453,-69.5703,-432.07,-6.06406
-4.9060e-02,509.609,-69.7656,-432.188,-6.08281
-4.9050e-02,510.391,-70.3125,-433.164,-6.1125
-4.9040e-02,514.18,-70.9375,-436.523,-6.09219
-4.9030e-02,516.367,-72.3047,-435.82,-6.09688
-4.9020e-02,516.758,-75.1953,-432.734,-6.10313
-4.9010e-02,518.945,-78.4766,-432.422,-6.12344
-4.9000e-02,519.258,-80.6641,-429.531,-6.14062
-4.8990e-02,520.469,-83.9453,-428.672,-6.14375
-4.8980e-02,521.289,-86.5234,-427.773,-6.12969
-4.8970e-02,522.578,-88.5938,-426.211,-6.09219
-4.8960e-02,522.891,-90.0391,-423.672,-6.09063
-4.8950e-02,523.086,-91.7578,-422.695,-6.07969
-4.8940e-02,523.906,-93.0859,-422.305,-6.09844
-4.8930e-02,525.312,-93.8281,-422.422,-6.10313
-4.8920e-02,524.258,-93.7891,-420.43,-6.13438
-4.8910e-02,523.906,-94.8438,-420.742,-6.15
-4.8900e-02,523.398,-95.2344,-420.469,-6.125
-4.8890e-02,524.062,-95.0781,-419.609,-6.12031
-4.8880e-02,524.609,-96.0547,-420.195,-6.1125
-4.8870e-02,524.219,-97.3828,-417.148,-6.10313
-4.8860e-02,521.367,-99.4531,-412.266,-6.06406
-4.8850e-02,521.523,-102.383,-410.508,-6.05625
-4.8840e-02,521.875,-104.531,-409.219,-6.04844
-4.8830e-02,523.086,-106.602,-408.672,-6.04844
-4.8820e-02,525.156,-108.164,-408.516,-6.07031
-4.8810e-02,526.992,-109.688,-409.336,-6.075
-4.8800e-02,526.094,-109.727,-407.969,-6.08281
-4.8790e-02,526.523,-110.664,-408.32,-6.08594
-4.8780e-02,528.984,-112.812,-409.883,-6.07656
-4.8770e-02,530.391,-114.453,-407.852,-6.07656
-4.8760e-02,527.109,-116.914,-402.109,-6.05781
-4.8750e-02,525.938,-120.625,-399.57,-6.02344
-4.8740e-02,526.172,-123.633,-397.539,-6.00313
-4.8730e-02,526.914,-125.898,-395.977,-5.98438
-4.8720e-02,527.891,-127.578,-395.469,-5.99688
-4.8710e-02,529.414,-129.453,-395.625,-5.99531
-4.8700e-02,533.633,-131.758,-397.734,-5.98281
-4.8690e-02,536.719,-134.258,-396.992,-6.00938
-4.8680e-02,539.219,-138.164,-395.82,-6.03594
-4.8670e-02,539.961,-140.078,-395.234,-6.02969
-4.8660e-02,540.391,-139.844,-395.508,-6.02188
-4.8650e-02,538.75,-139.727,-393.945,-6.00781
-4.8640e-02,535.898,-140.859,-391.367,-5.975
-4.8630e-02,535.82,-142.812,-390.781,-5.96719
-4.8620e-02,539.219,-145.195,-391.797,-5.96719
-4.8610e-02,540.586,-147.695,-390.352,-5.93906
-4.8600e-02,539.453,-150.82,-386.68,-5.94688
-4.8590e-02,541.094,-154.883,-385.938,-5.96875
-4.8580e-02,540.508,-156.25,-382.734,-5.95469
-4.8570e-02,540.781,-158.867,-381.484,-5.93281
-4.8560e-02,541.367,-161.758,-380.469,-5.93594
-4.8550e-02,541.953,-163.164,-378.32,-5.92188
-4.8540e-02,541.094,-164.453,-376.445,-5.93281
-4.8530e-02,540.781,-165.039,-375.664,-5.94063
-4.8520e-02,543.164,-166.641,-377.578,-5.93906
-4.8510e-02,544.375,-167.93,-375.938,-5.92656
-4.8500e-02,543.477,-169.922,-372.188,-5.92031
-4.8490e-02,544.023,-172.969,-371.641,-5.93281
-4.8480e-02,543.164,-173.477,-368.672,-5.92656
-4.8470e-02,542.5,-175.195,-368.164,-5.90781
-4.8460e-02,542.227,-177.148,-367.852,-5.90156
-4.8450e-02,542.969,-177.812,-366.289,-5.875
-4.8440e-02,543.398,-179.297,-366.68,-5.83125
-4.8430e-02,543.398,-180.508,-364.18,-5.82656
-4.8420e-02,540.469,-182.031,-359.18,-5.79219
-4.8410e-02,539.922,-184.492,-357.852,-5.77656
-4.8400e-02,541.172,-186.133,-357.148,-5.78281
-4.8390e-02,542.109,-187.031,-357.148,-5.79844
-4.8380e-02,545.586,-188.984,-359.648,-5.825
-4.8370e-02,547.852,-190.898,-359.297,-5.82969
-4.8360e-02,547.773,-192.812,-356.133,-5.8375
-4.8350e-02,549.961,-195.898,-356.484,-5.85
-4.8340e-02,550.039,-196.367,-354.766,-5.87344
-4.8330e-02,550.312,-198.125,-355.352,-5.8875
-4.8320e-02,550.586,-199.57,-354.922,-5.86563
-4.8310e-02,552.344,-200.43,-354.688,-5.84688
-4.8300e-02,553.477,-201.602,-355.469,-5.83125
-4.8290e-02,553.789,-202.539,-353.398,-5.8125
-4.8280e-02,551.836,-203.828,-349.102,-5.79531
-4.8270e-02,551.562,-206.289,-348.359,-5.79219
-4.8260e-02,554.219,-208.828,-349.805,-5.80625
-4.8250e-02,556.523,-211.211,-348.477,-5.78594
-4.8240e-02,555.938,-213.32,-344.688,-5.79063
-4.8230e-02,557.07,-216.562,-344.336,-5.81563
-4.8220e-02,556.68,-217.148,-341.875,-5.81563
-4.8210e-02,556.523,-218.672,-341.719,-5.8
-4.8200e-02,556.641,-220.117,-340.742,-5.79219
-4.8190e-02,557.539,-220.781,-339.922,-5.78438
-4.8180e-02,558.008,-221.992,-340.352,-5.80313
-4.8170e-02,557.852,-222.93,-338.008,-5.79531
-4.8160e-02,555.273,-223.711,-333.555,-5.76875
-4.8150e-02,554.414,-225.391,-332.344,-5.76562
-4.8140e-02,556.523,-227.383,-333.555,-5.75156
-4.8130e-02,558.516,-228.906,-332.422,-5.74844
-4.8120e-02,557.227,-230.508,-328.75,-5.725
-4.8110e-02,558.164,-233.125,-328.438,-5.72969
-4.8100e-02,556.953,-233.008,-326.445,-5.72813
-4.8090e-02,556.484,-234.023,-326.094,-5.73125
-4.8080e-02,556.602,-235.664,-326.367,-5.70312
-4.8070e-02,559.062,-237.031,-325.156,-5.7
-4.8060e-02,555,-237.617,-319.727,-5.68906
-4.8050e-02,553.047,-238.867,-317.578,-5.64844
-4.8040e-02,553.438,-240.195,-317.93,-5.64531
-4.8030e-02,554.57,-241.602,-316.445,-5.63281
-4.8020e-02,552.031,-242.383,-311.914,-5.61563
-4.8010e-02,551.875,-244.336,-310.859,-5.58594
-4.8000e-02,553.789,-245.859,-312.07,-5.6
-4.7990e-02,556.523,-247.539,-312.422,-5.60156
-4.7980e-02,555.43,-248.633,-309.297,-5.61875
-4.7970e-02,556.641,-250.977,-309.883,-5.62031
-4.7960e-02,557.578,-251.133,-309.883,-5.63906
-4.7950e-02,558.672,-253.359,-309.141,-5.63594
-4.7940e-02,556.641,-255.078,-304.453,-5.60469
-4.7930e-02,556.523,-257.617,-301.523,-5.59531
-4.7920e-02,555.82,-259.57,-300.117,-5.56406
-4.7910e-02,557.383,-261.562,-298.477,-5.53125
-4.7900e-02,554.805,-262.695,-293.477,-5.54531
-4.7890e-02,554.414,-264.648,-292.227,-5.55
-4.7880e-02,555.82,-266.133,-292.93,-5.52656
-4.7870e-02,558.711,-267.734,-293.438,-5.54688
-4.7860e-02,557.578,-268.672,-290.195,-5.53594
-4.7850e-02,558.516,-270.391,-290.859,-5.53594
-4.7840e-02,559.18,-270.586,-291.016,-5.54063
-4.7830e-02,560.273,-272.461,-290.703,-5.5375
-4.7820e-02,557.227,-273.477,-285.977,-5.52031
-4.7810e-02,556.953,-275.938,-283.75,-5.49844
-4.7800e-02,556.289,-277.656,-281.68,-5.46094
-4.7790e-02,556.953,-279.492,-280.352,-5.42969
-4.7780e-02,554.219,-280,-275.43,-5.40938
-4.7770e-02,553.242,-281.289,-274.297,-5.37656
-4.7760e-02,553.984,-282.227,-275.195,-5.37969
-4.7750e-02,556.445,-283.438,-275.703,-5.38906
-4.7740e-02,555.195,-283.555,-272.93,-5.38125
-4.7730e-02,555.352,-284.453,-273.711,-5.40625
-4.7720e-02,556.133,-284.609,-274.648,-5.44063
-4.7710e-02,556.445,-285.82,-273.867,-5.42969
-4.7700e-02,552.891,-286.25,-269.062,-5.39062
-4.7690e-02,552.539,-288.477,-266.367,-5.33906
-4.7680e-02,551.68,-290.352,-265.156,-5.30469
-4.7670e-02,551.328,-291.797,-262.188,-5.26719
-4.7660e-02,548.086,-292.109,-256.953,-5.2375
-4.7650e-02,546.953,-293.516,-255.625,-5.22969
-4.7640e-02,548.086,-294.883,-256.445,-5.21563
-4.7630e-02,549.727,-296.562,-255.273,-5.21875
-4.7620e-02,547.812,-297.188,-252.148,-5.20156
-4.7610e-02,548.281,-298.438,-252.5,-5.2125
-4.7600e-02,548.242,-298.555,-252.383,-5.20938
-4.7590e-02,548.984,-299.648,-251.602,-5.21563
-4.7580e-02,544.766,-300.586,-246.836,-5.16719
-4.7570e-02,544.258,-302.695,-244.141,-5.10625
-4.7560e-02,543.203,-304.414,-242.5,-5.09375
-4.7550e-02,542.5,-305.781,-239.883,-5.08125
