Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.3,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.9584e-02,-47.3438,-456.055,497.188,5.18438
-1.9580e-02,-48.9453,-456.133,496.875,5.20625
-1.9576e-02,-49.7656,-455.508,499.102,5.24688
-1.9572e-02,-51.0938,-454.336,499.922,5.2625
-1.9568e-02,-51.7969,-453.398,499.609,5.2625
-1.9564e-02,-52.3828,-453.477,500.234,5.25938
-1.9560e-02,-52.8906,-452.656,499.609,5.275
-1.9556e-02,-52.2266,-450.859,499.883,5.27813
-1.9552e-02,-52.1875,-450.117,498.203,5.25469
-1.9548e-02,-51.7188,-450.039,496.25,5.25469
-1.9544e-02,-51.3672,-449.766,495.938,5.23125
-1.9540e-02,-51.2109,-451.133,494.453,5.21094
-1.9536e-02,-50.3906,-451.562,495.352,5.20156
-1.9532e-02,-50.3516,-451.172,496.328,5.18906
-1.9528e-02,-51.3672,-450.625,496.484,5.20625
-1.9524e-02,-52.1094,-450.039,496.25,5.23125
-1.9520e-02,-52.8125,-449.141,497.188,5.25781
-1.9516e-02,-54.4141,-446.719,498.203,5.29531
-1.9512e-02,-56.4453,-445.195,497.5,5.29531
-1.9508e-02,-57.9688,-444.531,496.758,5.31875
-1.9504e-02,-59.1016,-443.672,496.328,5.36094
-1.9500e-02,-60,-443.125,497.344,5.34063
-1.9496e-02,-61.0547,-442.656,497.773,5.36719
-1.9492e-02,-61.9531,-442.5,498.789,5.3875
-1.9488e-02,-63.2031,-441.719,498.906,5.42813
-1.9484e-02,-63.9844,-441.289,499.727,5.44844
-1.9480e-02,-65.2344,-441.406,501.641,5.44844
-1.9476e-02,-66.4453,-441.719,502.148,5.46094
-1.9472e-02,-67.1094,-441.836,503.75,5.475
-1.9468e-02,-68.1641,-442.109,503.984,5.50313
-1.9464e-02,-69.2969,-442.617,505,5.55
-1.9460e-02,-69.8047,-441.133,507.539,5.55625
-1.9456e-02,-71.0156,-440.977,507.539,5.56719
-1.9452e-02,-71.4844,-441.797,507.422,5.58281
-1.9448e-02,-72.2266,-441.211,507.422,5.59688
-1.9444e-02,-73.2031,-440.586,506.992,5.62344
-1.9440e-02,-73.0078,-440.195,507.5,5.60313
-1.9436e-02,-73.4375,-439.609,507.422,5.59219
-1.9432e-02,-74.375,-440.82,506.836,5.6125
-1.9428e-02,-74.5703,-440.273,508.047,5.61563
-1.9424e-02,-75.2734,-439.766,508.32,5.625
-1.9420e-02,-75.2734,-439.609,508.945,5.6375
-1.9416e-02,-76.3672,-439.297,509.531,5.63125
-1.9412e-02,-76.6016,-438.867,509.688,5.60469
-1.9408e-02,-76.875,-438.945,510.039,5.64375
-1.9404e-02,-77.3828,-439.062,510.156,5.65625
-1.9400e-02,-78.0078,-440.625,510.078,5.66094
-1.9396e-02,-77.7734,-440.977,511.68,5.66094
-1.9392e-02,-78.2812,-441.094,513.398,5.67813
-1.9388e-02,-79.3359,-440.703,514.219,5.72188
-1.9384e-02,-80.9375,-440,514.766,5.74688
-1.9380e-02,-82.7734,-440.117,514.922,5.76719
-1.9376e-02,-83.4766,-438.672,517.812,5.78594
-1.9372e-02,-85.2344,-437.539,517.969,5.80781
-1.9368e-02,-86.8359,-436.641,516.797,5.85156
-1.9364e-02,-87.1484,-436.25,517.305,5.83438
-1.9360e-02,-87.2656,-436.562,515.625,5.81406
-1.9356e-02,-86.7188,-435.234,516.641,5.82344
-1.9352e-02,-87.6562,-434.102,516.289,5.84375
-1.9348e-02,-88.1641,-433.164,514.922,5.82344
