Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0400e-02,-289.492,554.57,-263.945,-0.621875
-5.0390e-02,-290.117,556.289,-266.562,-0.6375
-5.0380e-02,-290.273,558.906,-267.695,-0.625
-5.0370e-02,-289.414,558.867,-267.852,-0.648438
-5.0360e-02,-285.508,557.227,-272.188,-0.685938
-5.0350e-02,-278.281,554.336,-275.234,-0.742188
-5.0340e-02,-271.953,553.711,-280.781,-0.814063
-5.0330e-02,-267.07,551.953,-283.281,-0.835938
-5.0320e-02,-263.477,550.703,-285.469,-0.85
-5.0310e-02,-261.406,549.961,-286.641,-0.892188
-5.0300e-02,-260.586,549.18,-287.148,-0.901563
-5.0290e-02,-260.664,550.117,-288.633,-0.91875
-5.0280e-02,-260.742,551.875,-288.906,-0.909375
-5.0270e-02,-260.234,550.977,-288.398,-0.909375
-5.0260e-02,-260.078,550.703,-289.336,-0.8875
-5.0250e-02,-261.016,553.281,-291.602,-0.895313
-5.0240e-02,-261.875,556.367,-292.5,-0.939063
-5.0230e-02,-262.305,554.805,-289.883,-0.95
-5.0220e-02,-260.508,552.266,-291.797,-0.9375
-5.0210e-02,-258.125,551.523,-293.594,-0.9375
-5.0200e-02,-256.797,552.422,-294.531,-0.959375
-5.0190e-02,-257.109,552.695,-295.156,-0.973438
-5.0180e-02,-256.484,553.242,-294.648,-0.959375
-5.0170e-02,-255.742,552.734,-295.469,-0.971875
-5.0160e-02,-253.516,552.461,-297.344,-0.998438
-5.0150e-02,-250.781,551.484,-298.242,-1.03438
-5.0140e-02,-248.984,550.586,-300.977,-1.04219
-5.0130e-02,-248.438,551.68,-303.32,-1.04844
-5.0120e-02,-248.438,555.781,-305.82,-1.09531
-5.0110e-02,-248.555,553.828,-303.242,-1.12344
-5.0100e-02,-246.367,551.172,-305.273,-1.12969
-5.0090e-02,-243.867,549.688,-307.695,-1.14844
-5.0080e-02,-241.641,552.852,-311.367,-1.14219
-5.0070e-02,-239.531,550.977,-309.297,-1.18281
-5.0060e-02,-237.461,547.812,-310.547,-1.18281
-5.0050e-02,-236.523,547.422,-311.914,-1.19063
-5.0040e-02,-236.172,549.453,-312.383,-1.18438
-5.0030e-02,-235.234,549.648,-313.242,-1.19844
-5.0020e-02,-233.75,549.805,-315.508,-1.23594
-5.0010e-02,-231.133,549.375,-316.484,-1.27344
-5.0000e-02,-229.805,548.984,-319.062,-1.29844
-4.9990e-02,-229.805,550.664,-321.406,-1.32188
-4.9980e-02,-230.156,554.844,-323.789,-1.32188
-4.9970e-02,-230.273,555.352,-323.711,-1.32656
-4.9960e-02,-227.266,554.57,-327.148,-1.34688
-4.9950e-02,-221.484,552.031,-329.766,-1.40625
-4.9940e-02,-216.328,551.875,-335.117,-1.42969
