Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.9340e-02,140.156,-531.484,386.68,0.401563
-4.9330e-02,137.188,-531.836,388.945,0.442187
-4.9320e-02,134.727,-531.719,392.188,0.48125
-4.9310e-02,132.422,-530.664,393.75,0.503125
-4.9300e-02,131.406,-529.688,393.32,0.521875
-4.9290e-02,130.742,-530.156,394.102,0.545312
-4.9280e-02,129.688,-531.055,396.094,0.559375
-4.9270e-02,126.953,-529.922,398.867,0.585938
-4.9260e-02,124.727,-529.18,399.805,0.603125
-4.9250e-02,122.5,-528.398,399.805,0.623437
-4.9240e-02,121.328,-528.398,401.211,0.623437
-4.9230e-02,118.008,-526.562,403.086,0.63125
-4.9220e-02,114.492,-525.508,405.352,0.664062
-4.9210e-02,111.758,-526.602,407.383,0.7125
-4.9200e-02,110.078,-526.406,410.781,0.782812
-4.9190e-02,109.414,-525.703,411.914,0.767187
-4.9180e-02,108.711,-525.508,410.586,0.776563
-4.9170e-02,109.062,-526.211,411.328,0.775
-4.9160e-02,108.555,-527.891,413.164,0.796875
-4.9150e-02,108.75,-531.055,415.664,0.817187
-4.9140e-02,106.172,-532.227,420.664,0.839063
-4.9130e-02,101.445,-532.07,425.039,0.879687
-4.9120e-02,96.1328,-530.195,428.32,0.940625
-4.9110e-02,93.2422,-528.594,429.883,0.971875
-4.9100e-02,90.9375,-526.914,430.195,0.98125
-4.9090e-02,88.2031,-524.297,431.367,0.982812
-4.9080e-02,85.8203,-522.422,430.625,1
-4.9070e-02,84.1797,-521.055,430.039,1.02187
-4.9060e-02,82.4219,-519.375,431.602,1.02812
-4.9050e-02,79.4141,-517.344,432.617,1.00313
-4.9040e-02,75.9766,-516.016,434.141,1.05625
-4.9030e-02,73.125,-514.805,436.523,1.11094
-4.9020e-02,69.9609,-514.258,439.258,1.10781
-4.9010e-02,67.0312,-515.859,442.383,1.15781
-4.9000e-02,65.3906,-516.602,446.445,1.21094
-4.8990e-02,64.5312,-516.523,448.008,1.225
-4.8980e-02,64.375,-516.875,447.344,1.22344
-4.8970e-02,64.4922,-516.211,447.734,1.2375
-4.8960e-02,64.8438,-515.781,446.406,1.24844
-4.8950e-02,66.0156,-516.367,444.922,1.2375
-4.8940e-02,66.4453,-516.523,445.234,1.22656
-4.8930e-02,66.0547,-517.461,445.625,1.20312
-4.8920e-02,63.9062,-516.133,447.617,1.21406
-4.8910e-02,58.4375,-511.836,449.375,1.25156
-4.8900e-02,52.8906,-508.164,449.961,1.31719
-4.8890e-02,49.2969,-507.305,452.227,1.36875
-4.8880e-02,46.5625,-505.977,455.078,1.40312
-4.8870e-02,44.7266,-503.906,455.82,1.42969
-4.8860e-02,43.6719,-502.383,454.102,1.41719
-4.8850e-02,43.0859,-502.148,453.555,1.4125
-4.8840e-02,42.8906,-502.461,454.414,1.4125
-4.8830e-02,42.6953,-504.531,456.68,1.425
-4.8820e-02,40.0781,-504.727,460.469,1.42188
-4.8810e-02,35.3125,-503.242,463.555,1.45156
-4.8800e-02,31.2109,-501.523,465.43,1.49375
-4.8790e-02,29.6094,-499.609,466.211,1.53906
-4.8780e-02,28.5156,-497.852,464.883,1.54062
-4.8770e-02,28.4766,-499.102,464.57,1.55312
-4.8760e-02,26.3672,-498.242,467.461,1.59688
-4.8750e-02,21.8359,-495.82,469.805,1.64375
