Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0400e-02,-315.859,559.18,-244.688,-0.003125
-5.0390e-02,-313.711,558.203,-245.977,-0.0171875
-5.0380e-02,-310.938,557.969,-247.969,-0.0765625
-5.0370e-02,-307.07,557.852,-251.328,-0.167188
-5.0360e-02,-302.812,557.695,-255.625,-0.260938
-5.0350e-02,-299.492,557.148,-257.656,-0.309375
-5.0340e-02,-297.227,554.922,-257.578,-0.33125
-5.0330e-02,-294.844,551.836,-256.289,-0.3375
-5.0320e-02,-291.875,548.828,-256.992,-0.39375
-5.0310e-02,-287.539,546.602,-258.516,-0.432813
-5.0300e-02,-282.734,543.867,-259.57,-0.492188
-5.0290e-02,-278.828,541.172,-262.188,-0.560938
-5.0280e-02,-276.289,540.469,-263.906,-0.601562
-5.0270e-02,-275.273,540.156,-264.57,-0.604688
-5.0260e-02,-275.547,541.758,-266.133,-0.592188
-5.0250e-02,-275.898,544.023,-266.68,-0.590625
-5.0240e-02,-275.195,545.117,-268.789,-0.621875
-5.0230e-02,-273.477,546.562,-271.797,-0.684375
-5.0220e-02,-270.977,547.07,-274.141,-0.779688
-5.0210e-02,-269.219,547.344,-277.734,-0.828125
-5.0200e-02,-268.672,549.883,-281.055,-0.8375
-5.0190e-02,-268.906,554.922,-284.883,-0.840625
-5.0180e-02,-269.688,557.852,-287.656,-0.895313
-5.0170e-02,-270.586,559.453,-288.672,-0.895313
-5.0160e-02,-271.758,559.922,-287.5,-0.857813
-5.0150e-02,-273.203,559.219,-284.766,-0.840625
-5.0140e-02,-273.672,558.164,-284.609,-0.842188
-5.0130e-02,-272.93,558.555,-285.508,-0.864063
-5.0120e-02,-271.758,558.945,-287.148,-0.904688
-5.0110e-02,-269.57,559.883,-289.883,-0.957813
-5.0100e-02,-266.914,561.055,-294.102,-1.01094
-5.0090e-02,-263.281,562.578,-299.414,-1.10313
-5.0080e-02,-259.453,563.867,-305.195,-1.25156
-5.0070e-02,-256.289,564.219,-308.516,-1.31563
-5.0060e-02,-255.039,562.969,-308.359,-1.32656
-5.0050e-02,-253.711,561.211,-307.656,-1.3125
-5.0040e-02,-252.5,560.469,-308.125,-1.34531
-5.0030e-02,-250.469,559.453,-309.648,-1.39375
-5.0020e-02,-247.266,558.75,-311.875,-1.44844
-5.0010e-02,-243.945,558.828,-315.469,-1.51719
-5.0000e-02,-240.273,558.555,-319.375,-1.60469
-4.9990e-02,-237.344,557.383,-321.172,-1.68906
-4.9980e-02,-236.016,554.648,-319.688,-1.69375
-4.9970e-02,-234.922,552.188,-318.008,-1.69375
-4.9960e-02,-233.516,549.727,-316.836,-1.68906
-4.9950e-02,-231.211,547.773,-316.562,-1.72344
-4.9940e-02,-228.164,545.938,-317.578,-1.78594
