Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,-0.0004,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0400e-02,-115.625,-408.711,526.562,6.42969
-2.0396e-02,-115.898,-408.633,527.188,6.45469
-2.0392e-02,-116.953,-408.711,528.281,6.47656
-2.0388e-02,-117.852,-408.594,527.891,6.49062
-2.0384e-02,-118.242,-408.828,529.492,6.49219
-2.0380e-02,-118.75,-408.828,530.039,6.49531
-2.0376e-02,-118.984,-409.219,530.547,6.52344
-2.0372e-02,-119.453,-409.727,531.875,6.53125
-2.0368e-02,-119.883,-410.234,532.031,6.56875
-2.0364e-02,-119.766,-410.82,533.398,6.56406
-2.0360e-02,-120.195,-409.922,535.117,6.59375
-2.0356e-02,-120.781,-410.312,534.883,6.60156
-2.0352e-02,-120.352,-410.742,533.906,6.60156
-2.0348e-02,-120.156,-411.016,533.594,6.6125
-2.0344e-02,-120.273,-410.742,533.398,6.58906
-2.0340e-02,-120.195,-412.07,532.969,6.58594
-2.0336e-02,-119.688,-412.344,533.789,6.58437
-2.0332e-02,-119.883,-412.578,533.906,6.60156
-2.0328e-02,-121.172,-411.523,535.508,6.60156
-2.0324e-02,-122.695,-410.117,535.508,6.59844
-2.0320e-02,-123.633,-408.398,536.328,6.62187
-2.0316e-02,-125.742,-405.859,536.211,6.6375
-2.0312e-02,-127.109,-404.961,534.805,6.63437
-2.0308e-02,-128.008,-403.828,534.102,6.64219
-2.0304e-02,-129.102,-402.812,533.711,6.63281
-2.0300e-02,-130.234,-401.914,533.672,6.6375
-2.0296e-02,-131.133,-400.977,533.789,6.65937
-2.0292e-02,-131.953,-399.961,533.867,6.64687
-2.0288e-02,-132.461,-399.766,533.867,6.68594
-2.0284e-02,-133.164,-399.492,534.297,6.69531
-2.0280e-02,-133.711,-399.18,534.688,6.71094
-2.0276e-02,-134.18,-399.18,535.391,6.73594
-2.0272e-02,-134.609,-399.062,535.742,6.74062
-2.0268e-02,-135.234,-399.453,535.82,6.74375
-2.0264e-02,-135.898,-399.844,536.914,6.76406
-2.0260e-02,-136.133,-401.367,536.758,6.76406
-2.0256e-02,-135.625,-401.602,539.297,6.78125
-2.0252e-02,-136.914,-401.406,540.703,6.81562
-2.0248e-02,-138.672,-401.602,541.523,6.85781
-2.0244e-02,-139.805,-401.289,543.242,6.87031
-2.0240e-02,-141.406,-402.031,543.516,6.88594
-2.0236e-02,-142.734,-400.664,546.406,6.90625
-2.0232e-02,-144.531,-399.961,546.484,6.88906
-2.0228e-02,-145.391,-399.766,545.859,6.91719
-2.0224e-02,-145.586,-399.648,545.664,6.92656
-2.0220e-02,-145.586,-400.508,544.844,6.91719
-2.0216e-02,-144.727,-399.062,546.172,6.92656
-2.0212e-02,-144.961,-398.438,546.055,6.90625
-2.0208e-02,-144.961,-397.812,544.727,6.93125
