Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0.0035,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.5450e-02,-351.562,284.141,70.2344,-2.96719
-4.5440e-02,-351.211,281.836,72.2266,-2.93438
-4.5430e-02,-350.938,281.211,72.6562,-2.92031
-4.5420e-02,-351.797,281.836,72.7344,-2.93594
-4.5410e-02,-353.32,283.516,73.9844,-2.97031
-4.5400e-02,-354.18,283.789,73.3594,-2.97656
-4.5390e-02,-354.531,284.883,72.7734,-2.97031
-4.5380e-02,-354.844,285.703,71.4844,-2.96719
-4.5370e-02,-355.469,288.125,72.5,-2.9625
-4.5360e-02,-355.859,287.695,71.4844,-2.97031
-4.5350e-02,-355.195,288.281,69.8828,-2.975
-4.5340e-02,-354.492,288.672,67.7344,-2.96875
-4.5330e-02,-354.375,290.547,68.0469,-2.95312
-4.5320e-02,-353.594,289.57,66.5234,-2.94688
-4.5310e-02,-351.992,289.297,64.1016,-2.93906
-4.5300e-02,-350.391,289.18,61.1719,-2.90469
-4.5290e-02,-349.258,290.273,60.5469,-2.89062
-4.5280e-02,-348.984,291.68,58.4375,-2.87188
-4.5270e-02,-349.219,293.711,56.7188,-2.86563
-4.5260e-02,-348.672,294.57,53.6719,-2.825
-4.5250e-02,-347.383,296.055,50.3125,-2.81875
-4.5240e-02,-345.938,297.031,46.3281,-2.79219
-4.5230e-02,-345.664,299.805,44.0234,-2.78281
-4.5220e-02,-346.641,302.93,42.6562,-2.75
-4.5210e-02,-347.891,304.102,42.7344,-2.76406
-4.5200e-02,-349.023,304.883,44.6484,-2.78594
-4.5190e-02,-348.984,305.508,42.0703,-2.76406
-4.5180e-02,-347.812,307.656,41.4062,-2.74063
-4.5170e-02,-348.164,307.227,39.5312,-2.71719
-4.5160e-02,-348.281,308.125,40.7812,-2.74219
-4.5150e-02,-347.305,308.242,37.9297,-2.72344
-4.5140e-02,-346.094,310.273,36.6406,-2.73125
-4.5130e-02,-345.508,309.375,34.2188,-2.72188
-4.5120e-02,-344.727,310.156,35.2734,-2.74219
