Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0.004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.38,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.6000e-02,-327.227,340.352,-15.6641,-2.44688
-4.5990e-02,-326.719,341.719,-16.6797,-2.47344
-4.5980e-02,-327.93,343.906,-17.5781,-2.48594
-4.5970e-02,-329.922,346.875,-18.3203,-2.49531
-4.5960e-02,-331.562,348.203,-18.4766,-2.49219
-4.5950e-02,-332.422,350.039,-20.1562,-2.48594
-4.5940e-02,-332.539,351.406,-21.2109,-2.45469
-4.5930e-02,-331.68,351.602,-22.1875,-2.46875
-4.5920e-02,-330.352,351.094,-22.6953,-2.45312
-4.5910e-02,-327.812,349.297,-23.6719,-2.43906
-4.5900e-02,-324.805,346.719,-24.9609,-2.42656
-4.5890e-02,-322.852,346.172,-25.3125,-2.39844
-4.5880e-02,-321.289,345.078,-25.1562,-2.38281
-4.5870e-02,-320.938,344.414,-25.8984,-2.37656
-4.5860e-02,-321.094,346.562,-27.2656,-2.35938
-4.5850e-02,-320.469,348.555,-29.2578,-2.35313
-4.5840e-02,-319.453,350.547,-32.1094,-2.33438
-4.5830e-02,-319.102,351.328,-33.7891,-2.30469
-4.5820e-02,-319.297,352.773,-33.3984,-2.32969
-4.5810e-02,-318.828,352.5,-35,-2.30781
-4.5800e-02,-317.5,353.789,-36.8359,-2.29844
-4.5790e-02,-317.07,353.516,-37.7734,-2.275
-4.5780e-02,-317.344,353.711,-36.5625,-2.275
-4.5770e-02,-316.797,352.969,-36.5234,-2.29844
-4.5760e-02,-314.141,350.547,-36.6406,-2.27656
-4.5750e-02,-310.352,348.359,-40.1562,-2.25625
-4.5740e-02,-306.602,347.344,-43.0469,-2.22188
-4.5730e-02,-303.867,348.047,-44.1797,-2.2
-4.5720e-02,-302.695,347.812,-45.2734,-2.19219
-4.5710e-02,-302.148,348.164,-46.2109,-2.18125
-4.5700e-02,-302.891,349.766,-47.4219,-2.17813
-4.5690e-02,-304.57,352.305,-48.2422,-2.17344
-4.5680e-02,-305.781,355.43,-49.7266,-2.1875
-4.5670e-02,-304.57,357.109,-52.5781,-2.16563
-4.5660e-02,-301.367,357.656,-57.1875,-2.13438
-4.5650e-02,-298.555,357.812,-58.8281,-2.10625
-4.5640e-02,-296.523,356.211,-58.8281,-2.1
-4.5630e-02,-293.789,353.984,-59.8047,-2.04531
-4.5620e-02,-290.391,352.852,-62.2656,-2.03594
-4.5610e-02,-288.477,350.781,-62.4609,-2.00313
-4.5600e-02,-286.875,348.906,-60.9766,-1.98906
-4.5590e-02,-284.727,346.172,-60.3906,-1.975
-4.5580e-02,-282.344,343.828,-60.7812,-1.95625
-4.5570e-02,-280.195,343.086,-62.9688,-1.93594
-4.5560e-02,-279.414,344.18,-63.9844,-1.925
-4.5550e-02,-280.664,346.289,-64.8438,-1.94219
