Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.00012,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.9120e-02,-351.602,43.9453,307.773,-4.22031
-4.9110e-02,-350.781,44.0234,306.562,-4.25
-4.9100e-02,-350.742,44.2969,304.922,-4.24375
-4.9090e-02,-351.094,46.9531,305,-4.2125
-4.9080e-02,-351.211,49.0234,303.789,-4.23125
-4.9070e-02,-350.703,48.9062,303.281,-4.21094
-4.9060e-02,-348.672,46.3281,301.289,-4.175
-4.9050e-02,-347.852,47.0312,300.547,-4.14219
-4.9040e-02,-348.477,48.9062,299.805,-4.12969
-4.9030e-02,-349.648,50.8594,300.781,-4.12813
-4.9020e-02,-350.898,52.3828,299.609,-4.1375
-4.9010e-02,-352.227,56.25,297.891,-4.16094
-4.9000e-02,-354.102,60.1562,296.797,-4.15781
-4.8990e-02,-354.961,61.6797,297.188,-4.1625
-4.8980e-02,-355.508,61.3281,295.859,-4.15781
-4.8970e-02,-356.406,64.0234,296.445,-4.14219
-4.8960e-02,-357.539,65.3516,295.508,-4.15156
-4.8950e-02,-357.383,65.4297,296.289,-4.18125
-4.8940e-02,-356.68,63.3594,295.508,-4.18594
-4.8930e-02,-356.523,64.1016,295.977,-4.15156
-4.8920e-02,-357.891,65.625,295.117,-4.17813
-4.8910e-02,-359.961,68.3203,296.562,-4.18594
-4.8900e-02,-361.875,70.8984,295.977,-4.17656
-4.8890e-02,-362.461,75,292.695,-4.19687
-4.8880e-02,-360.938,78.9062,288.164,-4.15625
-4.8870e-02,-358.438,80.2734,283.477,-4.14062
-4.8860e-02,-355.977,79.5312,280.82,-4.11406
-4.8850e-02,-354.375,79.1797,280.781,-4.08906
-4.8840e-02,-353.828,78.0859,280.82,-4.04531
-4.8830e-02,-353.359,77.0312,282.109,-4.025
-4.8820e-02,-353.516,75.6641,282.227,-4.05156
-4.8810e-02,-354.453,76.6406,282.031,-4.07031
-4.8800e-02,-356.25,79.375,281.602,-4.06563
-4.8790e-02,-359.258,82.9297,284.18,-4.07656
-4.8780e-02,-360.977,83.1641,283.75,-4.10312
-4.8770e-02,-361.797,84.9219,283.008,-4.12344
-4.8760e-02,-362.969,86.5234,282.344,-4.12969
-4.8750e-02,-364.727,89.8047,282.539,-4.12031
-4.8740e-02,-366.094,92.5781,281.992,-4.14531
-4.8730e-02,-366.367,93.3594,282.227,-4.1625
-4.8720e-02,-366.211,91.5625,280.977,-4.18906
-4.8710e-02,-366.211,93.2031,281.445,-4.18125
-4.8700e-02,-365.703,94.2188,279.648,-4.18906
-4.8690e-02,-364.844,95.0391,277.109,-4.17813
-4.8680e-02,-363.984,95.7812,275.625,-4.15
-4.8670e-02,-363.906,96.9141,277.07,-4.10781
-4.8660e-02,-363.75,96.1719,276.172,-4.12031
-4.8650e-02,-364.023,97.3438,273.984,-4.12344
-4.8640e-02,-365.625,101.211,273.516,-4.11563
-4.8630e-02,-367.5,104.531,275.039,-4.10156
-4.8620e-02,-368.086,104.688,273.672,-4.10938
-4.8610e-02,-368.164,106.016,271.914,-4.09531
-4.8600e-02,-368.516,107.617,270.273,-4.08594
-4.8590e-02,-369.219,111.172,269.844,-4.05469
-4.8580e-02,-370.156,113.477,268.203,-4.05625
-4.8570e-02,-369.727,113.867,268.32,-4.08281
-4.8560e-02,-368.516,111.992,266.523,-4.0875
-4.8550e-02,-368.164,112.734,266.016,-4.09062
-4.8540e-02,-368.984,114.336,265.625,-4.10781
-4.8530e-02,-370.352,115.43,266.797,-4.10938
