Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0000e-02,0.664062,483.047,-468.945,1.9125
-1.9996e-02,0.859375,482.266,-468.32,1.91719
-1.9992e-02,0.898438,482.07,-467.734,1.93281
-1.9988e-02,0.742188,482.227,-469.883,1.90938
-1.9984e-02,0.859375,483.359,-468.555,1.88437
-1.9980e-02,-0.117188,483.164,-467.852,1.87187
-1.9976e-02,-0.78125,483.359,-465.625,1.88906
-1.9972e-02,-1.75781,481.367,-463.984,1.87969
-1.9968e-02,-1.5625,479.414,-463.945,1.85938
-1.9964e-02,-0.976562,478.672,-463.984,1.87344
-1.9960e-02,-0.273438,476.992,-463.75,1.86406
-1.9956e-02,1.40625,476.445,-464.805,1.87969
-1.9952e-02,3.63281,476.484,-467.227,1.87969
-1.9948e-02,5.46875,477.188,-466.914,1.86875
-1.9944e-02,6.67969,476.055,-467.148,1.8875
-1.9940e-02,7.38281,474.453,-467.227,1.90781
-1.9936e-02,9.10156,474.102,-467.734,1.90781
-1.9932e-02,9.6875,473.398,-468.008,1.925
-1.9928e-02,11.5625,472.734,-469.062,1.93437
-1.9924e-02,13.2422,472.5,-469.648,1.94844
-1.9920e-02,14.1797,471.602,-470.586,1.97031
-1.9916e-02,15.1953,471.055,-470.977,2.00156
-1.9912e-02,16.7969,471.406,-472.578,2.00625
-1.9908e-02,18.2422,471.367,-473.398,2.02656
-1.9904e-02,19.2578,471.875,-474.844,2.04219
-1.9900e-02,20.3906,471.68,-475.938,2.05937
-1.9896e-02,21.2891,471.055,-477.305,2.09531
-1.9892e-02,22.8906,471.992,-478.477,2.10312
-1.9888e-02,24.1406,472.383,-480.625,2.10781
-1.9884e-02,25.1172,472.891,-482.227,2.12344
-1.9880e-02,26.1719,473.398,-483.906,2.12813
-1.9876e-02,26.4844,474.023,-482.266,2.1375
-1.9872e-02,26.5625,470.586,-481.016,2.17656
-1.9868e-02,27.7734,469.336,-482.969,2.18437
-1.9864e-02,29.2969,469.141,-484.062,2.23906
-1.9860e-02,30.8203,468.672,-485.273,2.24687
-1.9856e-02,31.875,468.633,-485.82,2.275
-1.9852e-02,32.6562,467.344,-486.133,2.2875
-1.9848e-02,34.8047,468.438,-489.883,2.26719
-1.9844e-02,35.625,469.961,-489.648,2.27344
-1.9840e-02,35.5078,470.352,-489.336,2.26719
-1.9836e-02,34.6875,469.648,-486.836,2.24687
-1.9832e-02,33.5547,465.898,-484.18,2.25469
-1.9828e-02,34.1016,466.211,-487.422,2.23438
-1.9824e-02,34.9219,467.227,-486.602,2.22188
-1.9820e-02,35.2734,466.406,-485.703,2.22188
-1.9816e-02,35.8984,464.766,-486.016,2.22656
-1.9812e-02,37.3438,463.672,-487.734,2.22656
-1.9808e-02,38.6328,464.062,-486.953,2.23438
