Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0003,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0300e-02,-42.7344,291.406,-383.75,-2.70781
-5.0290e-02,-44.0625,291.953,-377.969,-2.725
-5.0280e-02,-44.0625,288.828,-377.422,-2.70781
-5.0270e-02,-41.7969,286.641,-378.125,-2.7
-5.0260e-02,-38.75,288.125,-380.156,-2.68594
-5.0250e-02,-39.0625,286.875,-375.312,-2.67813
-5.0240e-02,-39.4531,282.891,-373.359,-2.71406
-5.0230e-02,-38.0469,279.609,-374.688,-2.7125
-5.0220e-02,-34.2188,280.703,-376.25,-2.71875
-5.0210e-02,-33.5156,279.609,-373.828,-2.69375
-5.0200e-02,-33.3594,278.672,-373.203,-2.68438
-5.0190e-02,-32.5781,278.984,-372.5,-2.69375
-5.0180e-02,-31.5625,277.422,-373.984,-2.69219
-5.0170e-02,-28.0469,275,-377.734,-2.7125
-5.0160e-02,-27.8125,273.672,-381.328,-2.775
-5.0150e-02,-26.875,274.375,-382.891,-2.81719
-5.0140e-02,-25.3906,277.422,-386.016,-2.81563
-5.0130e-02,-26.4062,281.016,-386.641,-2.80781
-5.0120e-02,-25.1562,281.328,-389.375,-2.80938
-5.0110e-02,-22.1094,280,-390.078,-2.85
-5.0100e-02,-20.1562,275.625,-389.062,-2.88906
-5.0090e-02,-17.2656,273.672,-389.219,-2.8875
-5.0080e-02,-14.2188,272.5,-391.328,-2.91875
-5.0070e-02,-12.8906,270.156,-391.328,-2.9625
-5.0060e-02,-12.1875,266.641,-391.719,-2.98594
-5.0050e-02,-7.89062,267.422,-392.969,-2.96563
-5.0040e-02,-5.70312,269.062,-394.766,-2.99219
-5.0030e-02,-6.71875,268.516,-392.5,-3.00781
-5.0020e-02,-8.59375,268.359,-393.359,-2.98438
-5.0010e-02,-7.03125,267.5,-391.641,-2.96563
-5.0000e-02,-6.32812,264.922,-391.953,-2.97656
-4.9990e-02,-7.96875,264.141,-388.75,-3.00156
-4.9980e-02,-8.35938,263.281,-388.984,-2.97188
-4.9970e-02,-5.85938,263.203,-387.578,-2.95781
-4.9960e-02,-4.53125,263.672,-389.609,-2.97344
-4.9950e-02,-4.14062,261.875,-388.281,-3.01094
-4.9940e-02,-1.40625,257.188,-390.938,-3.05625
-4.9930e-02,3.04688,256.094,-394.062,-3.09531
-4.9920e-02,6.5625,256.875,-395.234,-3.09531
-4.9910e-02,8.28125,256.953,-396.172,-3.10625
-4.9900e-02,7.8125,259.844,-399.141,-3.10781
-4.9890e-02,5.3125,261.172,-396.406,-3.09219
-4.9880e-02,4.0625,259.531,-397.109,-3.09375
-4.9870e-02,4.21875,261.328,-398.203,-3.09375
-4.9860e-02,2.26562,260.234,-400.156,-3.09531
-4.9850e-02,3.82812,259.844,-396.875,-3.0875
