Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0.1926,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.73036e-01,-505.078,-106.172,463.75,4.62812
1.73040e-01,-505.703,-106.016,465.312,4.63437
1.73044e-01,-507.109,-103.75,465.781,4.64844
1.73048e-01,-506.797,-101.484,464.375,4.6625
1.73052e-01,-506.562,-101.25,461.719,4.67969
1.73056e-01,-505.156,-100.938,460.234,4.675
1.73060e-01,-505.078,-99.0625,459.531,4.66406
1.73064e-01,-504.922,-97.4219,458.438,4.63594
1.73068e-01,-504.141,-97.1875,456.016,4.62812
1.73072e-01,-505.078,-97.5,455.625,4.59062
1.73076e-01,-506.172,-96.1719,455.625,4.59844
1.73080e-01,-506.562,-94.4531,455.625,4.575
1.73084e-01,-506.328,-92.7344,455.234,4.57344
1.73088e-01,-506.328,-92.3438,454.453,4.60625
1.73092e-01,-505.781,-91.1719,453.75,4.63125
1.73096e-01,-506.094,-89.5312,453.125,4.58125
1.73100e-01,-505.312,-88.125,452.344,4.58281
1.73104e-01,-505.547,-87.0312,451.172,4.59375
1.73108e-01,-507.344,-87.0312,450.312,4.58281
1.73112e-01,-507.578,-86.0156,449.141,4.58594
1.73116e-01,-507.109,-83.5938,449.922,4.57031
1.73120e-01,-507.812,-82.2656,449.297,4.55469
1.73124e-01,-508.594,-81.7969,448.906,4.54688
1.73128e-01,-509.219,-82.2656,449.062,4.56719
1.73132e-01,-510.234,-80.9375,448.672,4.56562
1.73136e-01,-512.422,-79.9219,448.672,4.55469
1.73140e-01,-513.906,-78.125,449.531,4.55781
1.73144e-01,-515.078,-76.7188,449.297,4.5375
1.73148e-01,-514.844,-75.9375,449.688,4.54688
1.73152e-01,-515.703,-75.7031,447.031,4.56719
1.73156e-01,-517.266,-75.3125,447.031,4.58281
1.73160e-01,-515.859,-75.0781,447.031,4.58125
1.73164e-01,-515.469,-75.0781,447.734,4.575
1.73168e-01,-515.469,-74.9219,448.047,4.57344
1.73172e-01,-515.859,-77.8906,445.703,4.59531
1.73176e-01,-515.859,-77.5,445.703,4.59375
1.73180e-01,-515.938,-75.8594,446.719,4.60312
1.73184e-01,-516.953,-74.9219,447.5,4.60156
1.73188e-01,-517.109,-73.4375,446.875,4.575
1.73192e-01,-517.344,-73.9062,446.25,4.56719
1.73196e-01,-519.375,-73.0469,446.328,4.56562
1.73200e-01,-520.703,-70.8594,446.484,4.56562
1.73204e-01,-521.719,-68.5938,446.25,4.57031
1.73208e-01,-522.578,-67.8125,446.094,4.56719
1.73212e-01,-522.734,-66.7188,445.312,4.57344
1.73216e-01,-524.453,-66.4062,444.062,4.56562
1.73220e-01,-525.469,-65.7812,445.078,4.58125
1.73224e-01,-526.484,-63.2812,446.25,4.57031
1.73228e-01,-526.641,-62.3438,446.094,4.59062
1.73232e-01,-527.891,-63.125,444.453,4.61406
1.73236e-01,-528.047,-62.3438,445.234,4.61875
1.73240e-01,-527.109,-62.5,444.844,4.59844
1.73244e-01,-527.266,-63.125,446.328,4.575
1.73248e-01,-525.625,-62.3438,445.859,4.59844
1.73252e-01,-525.078,-64.6875,442.656,4.60312
1.73256e-01,-524.219,-63.6719,443.281,4.60156
1.73260e-01,-524.453,-62.3438,443.438,4.63125
1.73264e-01,-523.438,-60.7031,444.453,4.63125
1.73268e-01,-523.438,-58.8281,444.844,4.63594
1.73272e-01,-524.766,-58.8281,441.953,4.61562
1.73276e-01,-524.453,-56.6406,442.578,4.59375
1.73280e-01,-526.094,-55.625,442.656,4.58125
1.73284e-01,-527.891,-55.3906,441.016,4.56562
1.73288e-01,-527.5,-54.7656,441.25,4.54688
1.73292e-01,-528.672,-53.2031,440.156,4.58281
1.73296e-01,-529.688,-50.7812,439.141,4.60625
1.73300e-01,-530.703,-50.0781,439.375,4.5875
1.73304e-01,-532.188,-48.4375,439.766,4.58281
1.73308e-01,-532.188,-46.0938,438.984,4.56562
1.73312e-01,-533.594,-46.875,437.109,4.57812
1.73316e-01,-533.75,-47.6562,436.953,4.60625
1.73320e-01,-533.203,-46.0156,436.094,4.5875
1.73324e-01,-533.203,-45.7031,435.859,4.58281
1.73328e-01,-531.562,-45.7031,436.094,4.59531
1.73332e-01,-531.172,-47.6562,434.844,4.62344
1.73336e-01,-530.312,-46.4844,434.297,4.63594
1.73340e-01,-531.484,-45.4688,435.938,4.60156
1.73344e-01,-532.109,-46.0156,435.156,4.59375
1.73348e-01,-531.875,-46.0156,434.297,4.56719
1.73352e-01,-532.891,-45.625,434.453,4.54688
1.73356e-01,-533.75,-44.375,433.438,4.56719
1.73360e-01,-534.922,-43.6719,433.125,4.55469
1.73364e-01,-534.922,-42.3438,432.812,4.54219
1.73368e-01,-536.016,-42.1875,431.875,4.53437
1.73372e-01,-536.406,-41.5625,432.422,4.55312
1.73376e-01,-537.031,-39.9219,431.641,4.575
1.73380e-01,-538.047,-38.9062,432.109,4.59531
1.73384e-01,-537.812,-36.9531,433.672,4.59531
1.73388e-01,-540.078,-37.1094,433.438,4.60781
1.73392e-01,-540.234,-36.9531,432.891,4.62344
1.73396e-01,-540.469,-35.0781,434.062,4.63594
1.73400e-01,-540.703,-35.3125,434.531,4.64375
1.73404e-01,-541.719,-33.6719,436.875,4.63594
1.73408e-01,-541.094,-30.7812,436.484,4.64687
1.73412e-01,-540.859,-32.8906,433.438,4.64375
1.73416e-01,-540.703,-31.7969,432.031,4.65469
1.73420e-01,-542.5,-32.6562,430.781,4.64687
1.73424e-01,-542.109,-31.875,429.453,4.63125
1.73428e-01,-541.719,-30.8594,429.844,4.65469
1.73432e-01,-542.656,-30.1562,429.766,4.65937
1.73436e-01,-544.297,-29.4531,431.641,4.6625
1.73440e-01,-544.062,-28.2031,431.875,4.65937
1.73444e-01,-543.906,-27.4219,432.422,4.62344
1.73448e-01,-545.703,-27.7344,432.031,4.59844
1.73452e-01,-546.406,-27.5781,432.656,4.60625
1.73456e-01,-548.203,-29.1406,430.781,4.63437
1.73460e-01,-548.984,-28.125,431.797,4.61875
1.73464e-01,-548.75,-26.4062,432.422,4.63906
1.73468e-01,-546.797,-23.75,433.906,4.65156
1.73472e-01,-546.719,-24.6875,433.047,4.6625
1.73476e-01,-546.719,-23.6719,431.641,4.68281
1.73480e-01,-547.188,-22.2656,431.25,4.68906
1.73484e-01,-548.203,-21.7188,430.078,4.69531
1.73488e-01,-547.578,-20.4688,430,4.67969
1.73492e-01,-549.219,-20,429.062,4.68281
1.73496e-01,-549.609,-18.8281,427.969,4.69219
1.73500e-01,-550.234,-18.4375,426.719,4.70937
1.73504e-01,-549.844,-16.7969,426.953,4.69687
1.73508e-01,-547.109,-16.0156,426.719,4.66719
1.73512e-01,-546.953,-16.25,423.125,4.67188
1.73516e-01,-547.969,-17.5781,422.969,4.67969
