Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.02,,,
Horizontal Delay,0.1012,,,
Sample Interval,2e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.2000e-03,32.7344,-210.781,58.5938,-0.485937
1.2200e-03,36.6406,-210.938,56.7969,-0.50625
1.2400e-03,35.0781,-207.656,56.875,-0.510937
1.2600e-03,31.9531,-203.281,54.1406,-0.489062
1.2800e-03,28.5156,-201.953,55.1562,-0.471875
1.3000e-03,27.4219,-204.453,59.1406,-0.473437
1.3200e-03,30.8594,-208.75,58.5938,-0.470312
1.3400e-03,27.5781,-208.438,63.2812,-0.451562
1.3600e-03,25,-209.219,68.125,-0.398438
1.3800e-03,25.1562,-212.812,67.0312,-0.389062
1.4000e-03,26.875,-213.906,66.7188,-0.370312
1.4200e-03,23.75,-212.344,70.5469,-0.35
1.4400e-03,20,-210,75.2344,-0.31875
1.4600e-03,18.9062,-210.469,73.5938,-0.314062
1.4800e-03,18.9844,-210.078,73.2812,-0.315625
1.5000e-03,18.2031,-211.094,75.3125,-0.31875
1.5200e-03,21.4844,-214.531,73.5156,-0.34375
1.5400e-03,21.3281,-211.094,74.375,-0.353125
1.5600e-03,18.75,-207.656,72.8906,-0.309375
1.5800e-03,16.0156,-207.266,76.3281,-0.267187
1.6000e-03,15.8594,-206.875,74.9219,-0.2875
1.6200e-03,13.2031,-204.688,75,-0.279687
1.6400e-03,13.2031,-202.812,75.9375,-0.240625
1.6600e-03,7.8125,-203.125,78.4375,-0.226562
1.6800e-03,5,-204.141,83.3594,-0.20625
1.7000e-03,7.8125,-207.734,83.5156,-0.2125
1.7200e-03,11.5625,-209.219,83.8281,-0.2
1.7400e-03,6.79688,-209.297,89.8438,-0.157812
1.7600e-03,3.20312,-210.938,93.8281,-0.129687
1.7800e-03,4.21875,-212.969,92.5781,-0.15625
1.8000e-03,6.95312,-212.422,92.1094,-0.14375
1.8200e-03,7.34375,-211.484,89.5312,-0.1375
1.8400e-03,1.5625,-208.281,91.0938,-0.120312
1.8600e-03,-2.89062,-205.703,92.1094,-0.115625
1.8800e-03,-0.859375,-205.156,88.3594,-0.110937
1.9000e-03,-0.9375,-205.859,87.9688,-0.154687
1.9200e-03,-0.46875,-205.703,87.9688,-0.13125
1.9400e-03,-5.625,-203.125,92.4219,-0.0890625
1.9600e-03,-9.76562,-202.266,96.0156,-0.040625
1.9800e-03,-8.98438,-203.672,95.0781,-0.0296875
2.0000e-03,-8.98438,-202.578,95.0781,-0.028125
2.0200e-03,-12.8125,-199.453,96.5625,-0.0046875
2.0400e-03,-16.1719,-198.203,96.5625,0.0125
2.0600e-03,-15.2344,-198.75,93.4375,-0.015625
2.0800e-03,-12.8906,-198.359,93.125,-0.0328125
2.1000e-03,-12.3438,-200.469,92.6562,-0.028125
2.1200e-03,-15.7812,-198.438,96.7969,0.01875
