Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0.1926,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.72600e-01,-451.641,-191.484,487.969,9.62031
1.72604e-01,-454.297,-190.859,487.266,9.64531
1.72608e-01,-455.391,-189.922,486.641,9.66094
1.72612e-01,-456.172,-188.672,486.719,9.67344
1.72616e-01,-457.578,-185.781,488.984,9.69219
1.72620e-01,-458.047,-184.141,487.656,9.7375
1.72624e-01,-459.219,-184.219,485.078,9.74531
1.72628e-01,-459.609,-183.516,483.828,9.74531
1.72632e-01,-459.375,-182.812,482.578,9.77812
1.72636e-01,-459.609,-180.547,481.797,9.77031
1.72640e-01,-460.078,-179.141,480,9.74687
1.72644e-01,-461.875,-180.938,477.578,9.75
1.72648e-01,-462.109,-176.875,481.797,9.76562
1.72652e-01,-463.125,-175.859,481.875,9.76562
1.72656e-01,-464.062,-172.812,481.797,9.75312
1.72660e-01,-464.453,-171.328,479.375,9.73438
1.72664e-01,-465.312,-171.328,477.344,9.71406
1.72668e-01,-465.156,-170.156,475.703,9.70469
1.72672e-01,-464.141,-169.141,475.781,9.70625
1.72676e-01,-464.062,-168.594,475.938,9.7
1.72680e-01,-463.281,-167.578,475.781,9.67344
1.72684e-01,-464.297,-170.781,473.281,9.64844
1.72688e-01,-463.828,-169.609,474.453,9.65312
1.72692e-01,-463.125,-169.297,475.781,9.63906
1.72696e-01,-463.281,-169.531,476.172,9.65312
1.72700e-01,-463.672,-168.906,476.953,9.64531
1.72704e-01,-465.156,-168.516,476.328,9.66563
1.72708e-01,-464.922,-169.922,475.156,9.67969
1.72712e-01,-464.844,-169.297,476.484,9.67969
1.72716e-01,-465.312,-167.344,476.797,9.68906
1.72720e-01,-464.922,-166.562,476.797,9.73281
1.72724e-01,-465.312,-166.328,476.094,9.70625
1.72728e-01,-466.875,-165.234,474.922,9.72656
1.72732e-01,-467.578,-162.812,473.672,9.71406
1.72736e-01,-467.969,-161.25,473.516,9.72031
1.72740e-01,-469.766,-159.844,473.125,9.74687
1.72744e-01,-471.406,-157.734,473.125,9.74687
1.72748e-01,-474.453,-156.094,472.734,9.78125
1.72752e-01,-474.688,-152.5,472.266,9.79531
1.72756e-01,-476.875,-149.219,472.734,9.80781
1.72760e-01,-479.375,-147.578,471.875,9.81875
1.72764e-01,-479.922,-146.172,471.016,9.84375
1.72768e-01,-480.547,-145.234,470.859,9.85469
1.72772e-01,-481.953,-144.766,470.391,9.87969
1.72776e-01,-482.969,-143.75,470.234,9.88906
1.72780e-01,-483.75,-141.953,470,9.88906
1.72784e-01,-484.375,-143.984,469.609,9.88281
1.72788e-01,-485.391,-142.5,470.469,9.88906
1.72792e-01,-486.406,-141.953,471.016,9.90937
1.72796e-01,-488.281,-141.172,472.656,9.90312
1.72800e-01,-489.062,-141.328,472.266,9.90781
